Ptolemaeus	c	-9.16	-1.84	153.7
Lacus Timoris	p	-39.42	-27.95	153.6
Rimae Repsold	o	50.74	-80.46	152.1
Lyot	c	-50.47	84.80	150.6
Dorsum Heim	o	32.20	-29.83	146.8
Babbage	c	59.56	-57.38	146.6
Montes Archimedes	o	25.39	-5.25	146.5
Mare Anguis	p	22.43	67.58	146.0
Longomontanus	c	-49.55	-21.88	145.5
Vallis Inghirami	o	-43.95	-72.59	145.1
Rupes Liebig	o	-25.14	-45.92	144.8
Pythagoras	c	63.68	-62.98	144.6
Neper	c	8.76	84.58	144.3
Hipparchus	c	-5.36	4.91	143.9
Mare Spumans	p	1.30	65.30	143.1
Dorsa Mawson	o	-7.77	52.48	142.7
Vendelinus	c	-16.46	61.55	141.2
Rima Milichius	o	8.03	-32.87	140.7
Rimae Daniell	o	37.53	24.33	140.2
Catena Sylvester	o	79.99	-83.12	139.0
Dorsa Whiston	o	29.77	-56.96	138.9
Abel	c	-34.63	85.78	137.3
Brianchon	c	74.75	-88.36	137.3
Balmer	c	-20.27	70.22	136.3
De La Rue	c	59.02	52.84	135.2
Furnerius	c	-36.00	60.54	135.0
Walther	c	-33.25	0.62	134.2
Mee	c	-43.63	-35.19	134.1
Rima Bradley	o	24.17	-0.60	133.8
Hecataeus	c	-22.06	79.68	133.7
Rupes Mercator	o	-30.21	-22.84	132.4
Langrenus	c	-8.86	61.04	132.0
Albategnius	c	-11.24	4.01	130.8
Cleomedes	c	27.60	55.50	130.8
Rimae Sosigenes	o	8.08	18.72	130.0
Rimae Zupus	o	-15.46	-53.76	130.0
Mons Mouton	o	-84.60	31.00	130.0
Stöfler	c	-41.24	5.93	129.9
Dorsa Cato	o	0.21	47.70	128.6
Boussingault	c	-70.21	53.73	127.6
Dorsa Aldrovandi	o	23.61	28.65	126.8
Sinus Successus	p	1.12	58.52	126.7
Regiomontanus	c	-28.28	-1.09	126.6
Le Gentil	c	-74.27	-76.02	125.4
Rima Agricola	o	29.25	-53.42	125.1
Meton	c	73.57	19.63	124.7
Dorsum Grabau	o	29.76	-14.19	123.7
Messala	c	39.31	60.06	122.4
Darwin	c	-19.93	-69.21	122.2
Lacus Bonitatis	p	23.18	44.32	122.1
Endymion	c	53.61	56.48	122.1
Demonax	c	-78.09	59.36	121.9
Klaproth	c	-69.85	-26.26	121.4
Orontius	c	-40.37	-3.96	121.0
Fracastorius	c	-21.36	33.07	120.6
Rima Mairan	o	38.28	-46.83	120.5
Eddington	c	21.50	-72.02	120.1
Rimae Janssen	o	-45.80	39.26	120.0
Sinus Lunicus	p	32.36	-1.85	119.2
South	c	57.58	-50.94	119.0
Riemann	c	39.38	87.18	117.9
Letronne	c	-10.50	-42.49	117.6
Xenophanes	c	57.49	-82.01	117.6
Volta	c	53.90	-84.77	117.1
Rima Hadley	o	25.72	3.15	116.1
Kästner	c	-6.90	78.94	116.1
Rupes Recta	o	-21.67	-7.70	115.9
Barnard	c	-29.79	85.95	115.7
Maurolycus	c	-41.77	13.92	115.3
Goldschmidt	c	73.04	-3.37	115.3
Phocylides	c	-52.79	-57.31	115.2
Purbach	c	-25.51	-2.03	115.0
Lamarck	c	-23.12	-70.06	114.7
Moretus	c	-70.63	-5.95	114.4
Hevelius	c	2.20	-67.46	113.9
Rayleigh	c	29.12	89.45	113.8
Hommel	c	-54.74	32.93	113.6
Dorsa Barlow	o	14.04	30.57	112.6
Rimae Römer	o	26.98	34.86	112.0
Montes Teneriffe	o	47.89	-13.19	112.0
Sinus Honoris	p	11.72	17.87	111.6
Gassendi	c	-17.55	-39.96	111.4
Alphonsus	c	-13.39	-2.85	110.5
Vallis Palitzsch	o	-26.16	64.64	110.5
Helmholtz	c	-68.64	65.34	110.2
Scheiner	c	-60.35	-27.81	110.1
Rimae Gerard	o	45.54	-84.36	110.0
Rimae Petavius	o	-25.23	60.48	110.0
Repsold	c	51.31	-78.41	108.7
Pascal	c	74.36	-70.63	108.2
Scott	c	-82.35	48.52	107.8
Dorsum Scilla	o	32.34	-60.00	107.5
Vallis Capella	o	-7.39	35.04	106.3
Blancanus	c	-63.77	-21.63	105.8
Rima Euler	o	21.08	-30.31	105.0
Phillips	c	-26.57	75.67	104.2
Amundsen	c	-84.44	83.07	103.4
Russell	c	26.51	-75.55	103.4
Dorsum Azara	o	26.86	19.17	103.2
Lacus Doloris	p	16.80	8.61	102.9
Casatus	c	-72.70	-30.75	102.8
Piazzi	c	-36.16	-68.01	102.6
Gärtner	c	59.24	34.76	101.8
Wilhelm	c	-43.21	-20.94	100.8
Plato	c	51.62	-9.38	100.7
Dorsa Rubey	o	-9.88	-42.36	100.6
Pitatus	c	-29.88	-13.53	100.6
Cabeus	c	-85.33	-42.13	100.6
Gilbert	c	-3.19	76.16	100.2
Rimae Chacornac	o	29.01	31.24	100.0
Rimae Plinius	o	17.05	23.14	100.0
Rimae Ramsden	o	-32.93	-31.32	100.0
Dorsum Arduino	o	24.77	-36.27	99.7
Curtius	c	-67.08	4.40	99.3
Banachiewicz	c	5.28	80.01	99.1
Gerard	c	44.54	-80.51	98.8
Catharina	c	-17.98	23.55	98.8
Theophilus	c	-11.45	26.28	98.6
Lacus Felicitatis	p	18.52	5.36	98.5
Cyrillus	c	-13.29	24.07	98.1
Rimae Bürg	o	44.70	25.27	98.0
Sacrobosco	c	-23.75	16.64	97.7
Byrd	c	85.43	10.07	97.5
Arzachel	c	-18.26	-1.93	97.0
Fra Mauro	c	-6.06	-16.97	96.8
Copernicus	c	9.62	-20.08	96.1
Manzinus	c	-67.51	26.37	96.0
Vallis Bohr	o	10.25	-88.86	95.3
Dorsum Cayeux	o	0.76	51.22	95.1
Posidonius	c	31.88	29.99	95.1
Alexander	c	40.25	13.69	94.8
Inghirami	c	-47.49	-68.95	94.6
Boguslawsky	c	-72.90	43.26	94.6
Rima Oppolzer	o	-1.53	1.28	94.2
Rimae Maclear	o	12.23	19.90	94.0
Barrow	c	71.28	7.59	93.8
Vasco da Gama	c	13.78	-83.94	93.5
Goddard	c	15.15	89.13	93.2
Arnold	c	66.98	35.83	93.1
Montes Harbinger	o	26.89	-41.29	92.7
Dorsa Argand	o	28.29	-40.34	91.9
Rosenberger	c	-55.49	43.15	91.6
Gruemberger	c	-67.04	-10.30	91.5
Ansgarius	c	-12.92	79.72	91.4
Pontécoulant	c	-58.78	66.07	91.4
Rima Archytas	o	53.63	3.00	90.2
Brenner	c	-39.09	39.11	90.0
Rimae Pitatus	o	-29.84	-13.62	90.0
Birmingham	c	65.12	-10.70	89.9
Dorsum Termier	o	11.63	57.15	89.6
Rimae Apollonius	o	4.39	54.33	89.6
Baillaud	c	74.61	37.35	89.4
Vlacq	c	-53.39	38.69	89.2
Lagalla	c	-44.48	-22.36	88.8
Gemma Frisius	c	-34.33	13.37	88.5
Lacus Gaudii	p	16.33	12.27	88.5
Pingré	c	-58.64	-73.95	88.4
Atlas	c	46.74	44.38	88.1
Piccolomini	c	-29.70	32.20	87.6
Aristoteles	c	50.24	17.32	87.6
Schlüter	c	-5.93	-83.39	87.6
Hahn	c	31.22	73.55	87.5
Vieta	c	-29.31	-56.53	87.2
Rimae Menelaus	o	17.10	17.77	87.0
Rimae Alphonsus	o	-13.40	-1.94	87.0
Wurzelbauer	c	-34.04	-16.06	86.8
Lacus Aestatis	p	-14.83	-68.57	86.4
Hayn	c	64.56	83.87	86.2
Rima Louville	o	47.61	-51.54	86.0
Snellius	c	-29.33	55.70	86.0
Rupes Kelvin	o	-28.03	-33.17	85.9
Schomberger	c	-76.64	24.69	85.8
Heraclitus	c	-49.31	6.42	85.7
Dorsum Cushman	o	1.42	49.19	85.7
Tycho	c	-43.30	-11.22	85.3
Lacus Tenebrarum	p	-86.71	-87.67	85.0
Desargues	c	70.25	-73.42	84.8
Julius Caesar	c	9.17	15.21	84.7
Wargentin	c	-49.53	-60.44	84.7
Dorsum Bucher	o	30.76	-39.55	84.7
